Track,Date,Start Time,Duration,Speaker,Talk Title,Synopsis,Type,Room Name
Studio C,03/07/2026,13:35 - 14:20,45,Kate Sant,Never let a crisis go to waste : how we used GenAI to battle a SPAM attack,,,ENGINEERING
Studio K,03/07/2026,13:35 - 14:20,45,Annegret Junker,AI Can't Turn the Tanker (Your Team Has To),,,DESIGN & PRODUCT
Studio L ,03/07/2026,13:35 - 14:20,45,Keith Klain,When the whistle blows: An ethics experience report,,,TEAMS
Lawn,03/07/2026,14:20 - 14:30,10,Karl Royle,The invisible work of coaching: Lessons from two years on the edge of organisational change,,,ORGANISATIONS
Studio A,03/07/2026,14:30 - 15:15,45,,Break,,,
Studio C,03/07/2026,14:30 - 15:15,45,Tom Morton,From on-prem to cloud to … chaos? Our quest for developer experience,,,ENGINEERING
Studio K,03/07/2026,14:30 - 15:15,45,Valentina Caruso,The 7 mountains of legacy-to-web migration and how to climb them,,,DESIGN & PRODUCT
Studio L ,03/07/2026,14:30 - 15:15,45,"Dinesh Sharma, Bhavika Nayyar",Restoring sprint goal confidence: How AI turned hope Into evidence,,,TEAMS
Studio A,03/07/2026,15:20 - 16:20,60,Jo Tansley Thomas,"Institutional memory: beyond people, buildings and the fear of losing it",,,ORGANISATIONS
Studio A,03/07/2026,16:20 - 16:30,10,Veerle Verhagen,Veerle doesn't want to talk about AI,,,
,,,,,Meur ras - thank you!,,,
